Age,l_x,d_x,qx,px
0,100000,1734,0.01734,0.98266
1,98266,122,0.001241528,0.998758472
2,98144,92,0.000937398,0.999062602
3,98052,78,0.000795496,0.999204504
4,97974,71,0.000724682,0.999275318
5,97903,64,0.000653708,0.999346292
6,97839,59,0.000603032,0.999396968
7,97780,57,0.000582941,0.999417059
8,97723,53,0.000542349,0.999457651
9,97670,52,0.000532405,0.999467595
10,97618,52,0.000532689,0.999467311
11,97566,52,0.000532973,0.999467027
12,97514,52,0.000533257,0.999466743
13,97462,56,0.000574583,0.999425417
14,97406,58,0.000595446,0.999404554
15,97348,64,0.000657435,0.999342565
16,97284,68,0.000698984,0.999301016
17,97216,74,0.000761192,0.999238808
18,97142,79,0.000813242,0.999186758
19,97063,85,0.00087572,0.99912428
20,96978,90,0.000928046,0.999071954
21,96888,96,0.000990835,0.999009165
22,96792,101,0.001043475,0.998956525
23,96691,105,0.001085934,0.998914066
24,96586,109,0.001128528,0.998871472
25,96477,114,0.001181629,0.998818371
26,96363,115,0.001193404,0.998806596
27,96248,118,0.001226,0.998774
28,96130,122,0.001269115,0.998730885
29,96008,124,0.001291559,0.998708441
30,95884,126,0.001314088,0.998685912
31,95758,128,0.001336703,0.998663297
32,95630,132,0.00138032,0.99861968
33,95498,134,0.001403171,0.998596829
34,95364,136,0.001426115,0.998573885
35,95228,142,0.001491158,0.998508842
36,95086,145,0.001524935,0.998475065
37,94941,151,0.001590461,0.998409539
38,94790,156,0.001645743,0.998354257
39,94634,165,0.001743559,0.998256441
40,94469,172,0.001820703,0.998179297
41,94297,182,0.001930072,0.998069928
42,94115,193,0.002050683,0.997949317
43,93922,204,0.002172015,0.997827985
44,93718,219,0.002336798,0.997663202
45,93499,236,0.002524091,0.997475909
46,93263,253,0.002712759,0.997287241
47,93010,273,0.002935168,0.997064832
48,92737,296,0.003191822,0.996808178
49,92441,321,0.003472485,0.996527515
50,92120,349,0.003788537,0.996211463
51,91771,382,0.004162535,0.995837465
52,91389,414,0.004530086,0.995469914
53,90975,453,0.00497939,0.99502061
54,90522,497,0.005490378,0.994509622
55,90025,542,0.00602055,0.99397945
56,89483,593,0.006626957,0.993373043
57,88890,651,0.007323658,0.992676342
58,88239,710,0.008046329,0.991953671
59,87529,780,0.008911332,0.991088668
60,86749,851,0.009809911,0.990190089
61,85898,932,0.010850078,0.989149922
62,84966,1018,0.011981263,0.988018737
63,83948,1111,0.013234383,0.986765617
64,82837,1213,0.014643215,0.985356785
65,81624,1321,0.016183966,0.983816034
66,80303,1436,0.017882271,0.982117729
67,78867,1559,0.019767457,0.980232543
68,77308,1690,0.02186061,0.97813939
69,75618,1827,0.024160914,0.975839086
70,73791,1971,0.026710574,0.973289426
71,71820,2120,0.02951824,0.97048176
72,69700,2273,0.032611191,0.967388809
73,67427,2429,0.036024145,0.963975855
74,64998,2586,0.03978584,0.96021416
75,62412,2741,0.043917836,0.956082164
76,59671,2892,0.048465754,0.951534246
77,56779,3035,0.053452861,0.946547139
78,53744,3167,0.058927508,0.941072492
79,50577,3284,0.0649307,0.9350693
80,47293,3381,0.071490495,0.928509505
81,43912,3456,0.07870286,0.92129714
82,40456,3500,0.086513743,0.913486257
83,36956,3513,0.095058989,0.904941011
84,33443,3491,0.104386568,0.895613432
85,29952,3427,0.1144164,0.8855836
86,26525,3325,0.12535344,0.87464656
87,23200,3182,0.137155172,0.862844828
88,20018,3000,0.149865121,0.850134879
89,17018,2785,0.163650253,0.836349747
90,14233,2536,0.178177475,0.821822525
91,11697,2269,0.193981363,0.806018637
92,9428,1986,0.21064913,0.78935087
93,7442,1700,0.228433217,0.771566783
94,5742,1419,0.247126437,0.752873563
95,4323,1154,0.266944252,0.733055748
96,3169,912,0.287787946,0.712212054
97,2257,698,0.30926008,0.69073992
98,1559,518,0.332264272,0.667735728
99,1041,370,0.355427474,0.644572526
100,671,671,1,0
101,0,0,0,0
102,0,0,0,0
103,0,0,0,0
104,0,0,0,0
105,0,0,0,0
106,0,0,0,0
107,0,0,0,0
108,0,0,0,0
109,0,0,0,0
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0,0,0,0
114,0,0,0,0
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,0,0,0,0
121,0,0,0,0
122,0,0,0,0
123,0,0,0,0
124,0,0,0,0
125,0,0,0,0
126,0,0,0,0
127,0,0,0,0
128,0,0,0,0
129,0,0,0,0
130,0,0,0,0
131,0,0,0,0
132,0,0,0,0
133,0,0,0,0
